 [File Information]      		 [Data Line]	36
Measured Date	2016/09/08 11:06:36
ID	03001	Version	5.01
Name	ChiK13	[HeaderType]	5.01/2.01
Comment	
[Measurement Info.]
Holder Location	      19
Block Design	Off     
Pre.Rest Time	      60
Task Time	     120
Pos.Rest Time	      30
Loop	       1
Averaging	       1
Total Points	   10913
[.INF File]
Filename	thuong0402.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
   0.00,  0.00,  0.00,  0.00,536.00,458.00,653.00,  0.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Voltage 
Time Range	    0.00	  600.16	Averaing	1
(8,6)(3,6)(8,7)(5,6)(3,5)(5,7)(5,5)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7
Time(sec)	Task	Mark	Count	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm	Volt780nm	Volt805nm	Volt830nm
     2.585	0	0	    0	    0.715801	    0.656596	    0.668803	    1.754635	    1.266957	    1.718013	    1.727779	    1.209888	    1.353017	    0.261082	    0.192111	    0.185702	    1.439384	    1.153124	    1.214466	    1.601129	    1.043870	    0.974594	    1.675593	    1.181506	    1.137255
     2.640	0	0	    0	    0.715801	    0.655375	    0.670939	    1.759823	    1.264820	    1.718318	    1.706416	    1.208667	    1.347524	    0.262913	    0.192721	    0.186313	    1.441215	    1.149767	    1.221790	    1.602045	    1.038682	    0.973068	    1.683833	    1.188220	    1.140612
     2.695	0	0	    0	    0.720989	    0.657206	    0.670634	    1.763790	    1.273671	    1.727779	    1.718929	    1.214466	    1.347524	    0.261997	    0.192111	    0.188144	    1.447318	    1.156786	    1.228809	    1.609064	    1.043565	    0.979782	    1.695430	    1.189136	    1.153124
     2.750	0	0	    0	    0.720378	    0.659953	    0.672160	    1.767758	    1.273365	    1.735103	    1.732967	    1.227588	    1.343862	    0.261387	    0.193332	    0.188754	    1.457694	    1.158923	    1.235218	    1.616083	    1.049058	    0.985885	    1.699702	    1.194934	    1.150988
     2.805	0	0	    0	    0.720989	    0.664836	    0.679484	    1.774777	    1.277333	    1.736629	    1.732967	    1.223926	    1.369802	    0.263828	    0.193942	    0.189059	    1.459831	    1.164721	    1.236744	    1.635920	    1.057603	    0.989242	    1.713741	    1.202869	    1.160143
     2.860	0	0	    0	    0.725261	    0.662699	    0.679789	    1.774166	    1.285573	    1.741817	    1.730831	    1.238880	    1.378958	    0.264744	    0.194247	    0.190585	    1.462882	    1.168994	    1.239796	    1.643854	    1.066453	    0.996872	    1.713130	    1.206531	    1.167468
     2.915	0	0	    0	    0.716106	    0.652934	    0.670329	    1.767453	    1.277943	    1.735103	    1.712825	    1.205921	    1.359121	    0.262913	    0.193637	    0.188449	    1.448844	    1.161669	    1.231250	    1.616083	    1.047837	    0.981308	    1.697871	    1.191882	    1.150378
     2.970	0	0	    0	    0.716716	    0.651713	    0.665141	    1.758907	    1.267872	    1.723507	    1.732967	    1.212024	    1.328298	    0.261387	    0.191501	    0.186313	    1.436332	    1.150988	    1.214466	    1.588006	    1.045396	    0.971542	    1.689021	    1.179980	    1.139086
     3.025	0	0	    0	    0.715496	    0.653544	    0.668498	    1.759213	    1.260853	    1.718624	    1.703975	    1.211414	    1.336538	    0.260472	    0.191196	    0.185397	    1.433585	    1.137560	    1.211719	    1.591363	    1.028916	    0.964828	    1.683833	    1.183337	    1.140917
     3.080	0	0	    0	    0.716411	    0.653849	    0.669108	    1.757382	    1.266346	    1.717098	    1.710079	    1.201648	    1.348135	    0.260166	    0.191501	    0.185397	    1.436637	    1.145190	    1.209888	    1.602960	    1.036240	    0.962997	    1.683833	    1.180896	    1.137255
