time	S1_D1_HbO	S1_D2_HbO	
   1.9140000e+01	  -2.8385212e-01	  -5.0777145e-01	
   1.9195000e+01	  -4.2995281e-01	  -5.6046597e-01	
   1.9250000e+01	  -4.3650225e-01	  -5.1221228e-01	
   1.9305000e+01	  -2.7426155e-01	  -3.6952025e-01	
   1.9360000e+01	  -4.3098674e-02	  -1.9669755e-01	
   1.9415000e+01	   1.1458828e-01	  -6.6603319e-02	
   1.9470000e+01	   1.4900457e-01	  -9.2682010e-03	
   1.9525000e+01	   1.1396198e-01	  -1.7879688e-02	
   1.9580000e+01	   6.8796349e-02	  -7.7799105e-02	
   1.9635000e+01	   2.3835660e-02	  -1.6339097e-01	
   1.9690000e+01	  -3.5556097e-02	  -2.3183322e-01	
   1.9745000e+01	  -1.1781414e-01	  -2.5691937e-01	
   1.9800000e+01	  -2.1435863e-01	  -2.6203989e-01	
   1.9855000e+01	  -2.9221498e-01	  -2.9455462e-01	
   1.9910000e+01	  -3.0224996e-01	  -3.6547730e-01	
   1.9965000e+01	  -2.2853864e-01	  -4.2967786e-01	
   2.0020000e+01	  -1.3294627e-01	  -4.3173342e-01	
   2.0075000e+01	  -1.0654830e-01	  -3.6051429e-01	
   2.0130000e+01	  -1.6159079e-01	  -2.5388180e-01	
   2.0185000e+01	  -2.1407974e-01	  -1.6354419e-01	
   2.0240000e+01	  -1.9088977e-01	  -1.1966002e-01	
   2.0295000e+01	  -1.1824075e-01	  -1.1509176e-01	
   2.0350000e+01	  -8.6894443e-02	  -1.2127107e-01	
   2.0405000e+01	  -1.5623435e-01	  -1.2813841e-01	
   2.0460000e+01	  -3.0616641e-01	  -1.6209010e-01	
   2.0515000e+01	  -4.5830226e-01	  -2.5339603e-01	
   2.0570000e+01	  -5.3132636e-01	  -3.9002160e-01	
   2.0625000e+01	  -5.0349196e-01	  -5.1307399e-01	
   2.0680000e+01	  -4.3213506e-01	  -5.5915357e-01	
   2.0735000e+01	  -3.8353720e-01	  -5.0552993e-01	
   2.0790000e+01	  -3.4932877e-01	  -3.8058325e-01	
   2.0845000e+01	  -2.7449091e-01	  -2.4195347e-01	
   2.0900000e+01	  -1.5628147e-01	  -1.4369014e-01	
   2.0955000e+01	  -6.4998538e-02	  -1.0783368e-01	
   2.1010000e+01	  -7.0706471e-02	  -1.1791532e-01	
   2.1065000e+01	  -1.8846854e-01	  -1.4717005e-01	
   2.1120000e+01	  -3.8602284e-01	  -1.9277548e-01	
   2.1175000e+01	  -6.0126373e-01	  -2.6969406e-01	
   2.1230000e+01	  -7.5571187e-01	  -3.7452743e-01	
   2.1285000e+01	  -7.9583596e-01	  -4.7169505e-01	
   2.1340000e+01	  -7.3310666e-01	  -5.1527991e-01	
   2.1395000e+01	  -6.2387453e-01	  -4.7790325e-01	
   2.1450000e+01	  -5.0860739e-01	  -3.6831640e-01	
   2.1505000e+01	  -3.8827735e-01	  -2.3356674e-01	
   2.1560000e+01	  -2.6741577e-01	  -1.3628248e-01	
   2.1615000e+01	  -1.9348503e-01	  -1.1208202e-01	
   2.1670000e+01	  -2.1077576e-01	  -1.4459715e-01	
   2.1725000e+01	  -2.8358906e-01	  -1.8848586e-01	
   2.1780000e+01	  -3.2133908e-01	  -2.1484729e-01	
   2.1835000e+01	  -2.8749612e-01	  -2.2632464e-01	
   2.1890000e+01	  -2.3991017e-01	  -2.3853105e-01	
   2.1945000e+01	  -2.6291423e-01	  -2.6902668e-01	
   2.2000000e+01	  -3.8890167e-01	  -3.3729863e-01	
   2.2055000e+01	  -5.7069012e-01	  -4.4070310e-01	
   2.2110000e+01	  -7.0397816e-01	  -5.2300749e-01	
   2.2165000e+01	  -6.9498740e-01	  -5.0155633e-01	
   2.2220000e+01	  -5.3530124e-01	  -3.5007637e-01	
   2.2275000e+01	  -3.0638097e-01	  -1.3879618e-01	
   2.2330000e+01	  -1.0070184e-01	   2.4304204e-02	
   2.2385000e+01	   3.9849175e-02	   7.9612046e-02	
   2.2440000e+01	   1.0749427e-01	   3.9398468e-02	
   2.2495000e+01	   1.0846448e-01	  -4.4050274e-02	
   2.2550000e+01	   7.6468646e-02	  -1.1703579e-01	
   2.2605000e+01	   5.0862529e-02	  -1.5662204e-01	
   2.2660000e+01	   2.7687789e-02	  -1.8186875e-01	
   2.2715000e+01	  -2.7457279e-02	  -2.2229286e-01	
   2.2770000e+01	  -1.2355863e-01	  -2.7690203e-01	
   2.2825000e+01	  -2.3415165e-01	  -3.1592142e-01	
   2.2880000e+01	  -3.1659294e-01	  -3.1104520e-01	
   2.2935000e+01	  -3.0701710e-01	  -2.5194550e-01	
   2.2990000e+01	  -1.4661057e-01	  -1.4963477e-01	
   2.3045000e+01	   1.2963317e-01	  -3.7430759e-02	
   2.3100000e+01	   3.7158137e-01	   4.5972393e-02	
   2.3155000e+01	   4.3910837e-01	   8.7166584e-02	
   2.3210000e+01	   3.2972348e-01	   1.0203224e-01	
   2.3265000e+01	   1.5771426e-01	   1.0521190e-01	
   2.3320000e+01	   3.6425296e-02	   9.2394020e-02	
   2.3375000e+01	  -1.0250095e-03	   5.8842791e-02	
   2.3430000e+01	   6.0414364e-03	   1.4592809e-02	
   2.3485000e+01	   4.8539417e-03	  -3.3832063e-02	
   2.3540000e+01	  -2.5079446e-02	  -1.0127928e-01	
   2.3595000e+01	  -7.7604777e-02	  -2.0159322e-01	
   2.3650000e+01	  -1.4419199e-01	  -3.1109989e-01	
   2.3705000e+01	  -2.1262802e-01	  -3.7380854e-01	
   2.3760000e+01	  -2.5558532e-01	  -3.4905077e-01	
   2.3815000e+01	  -2.3603814e-01	  -2.4608446e-01	
   2.3870000e+01	  -1.2550003e-01	  -1.1071256e-01	
   2.3925000e+01	   6.8175767e-02	   8.3796585e-03	
   2.3980000e+01	   2.7722029e-01	   7.4294468e-02	
   2.4035000e+01	   4.0000962e-01	   6.6482536e-02	
   2.4090000e+01	   3.8101321e-01	  -5.4219017e-03	
   2.4145000e+01	   2.5884071e-01	  -1.0045351e-01	
