time	S1_D2_HbO	
   3.0470000e+01	  -8.5556236e-01	
   3.0525000e+01	  -8.8225303e-01	
   3.0580000e+01	  -9.2355749e-01	
   3.0635000e+01	  -9.7134646e-01	
   3.0690000e+01	  -1.0147383e+00	
   3.0745000e+01	  -1.0419483e+00	
   3.0800000e+01	  -1.0425066e+00	
   3.0855000e+01	  -1.0094092e+00	
   3.0910000e+01	  -9.4080345e-01	
   3.0965000e+01	  -8.4093425e-01	
   3.1020000e+01	  -7.2002451e-01	
   3.1075000e+01	  -5.9278400e-01	
   3.1130000e+01	  -4.7576809e-01	
   3.1185000e+01	  -3.8442256e-01	
   3.1240000e+01	  -3.3065163e-01	
   3.1295000e+01	  -3.2123604e-01	
   3.1350000e+01	  -3.5705660e-01	
   3.1405000e+01	  -4.3305875e-01	
   3.1460000e+01	  -5.3889499e-01	
   3.1515000e+01	  -6.6006732e-01	
   3.1570000e+01	  -7.7940420e-01	
   3.1625000e+01	  -8.7887292e-01	
   3.1680000e+01	  -9.4175892e-01	
   3.1735000e+01	  -9.5505055e-01	
   3.1790000e+01	  -9.1164730e-01	
   3.1845000e+01	  -8.1191686e-01	
   3.1900000e+01	  -6.6415403e-01	
   3.1955000e+01	  -4.8364085e-01	
   3.2010000e+01	  -2.9035373e-01	
   3.2065000e+01	  -1.0583961e-01	
   3.2120000e+01	   4.9952297e-02	
   3.2175000e+01	   1.6127913e-01	
   3.2230000e+01	   2.1843622e-01	
   3.2285000e+01	   2.1877245e-01	
   3.2340000e+01	   1.6683532e-01	
   3.2395000e+01	   7.3652356e-02	
   3.2450000e+01	  -4.4771124e-02	
   3.2505000e+01	  -1.6967690e-01	
   3.2560000e+01	  -2.8229065e-01	
   3.2615000e+01	  -3.6650606e-01	
   3.2670000e+01	  -4.1091216e-01	
   3.2725000e+01	  -4.1000181e-01	
   3.2780000e+01	  -3.6472001e-01	
   3.2835000e+01	  -2.8234400e-01	
   3.2890000e+01	  -1.7548123e-01	
   3.2945000e+01	  -6.0162029e-02	
   3.3000000e+01	   4.6647969e-02	
   3.3055000e+01	   1.2965152e-01	
